User,Comment,Rating
Cbro Tarigan,"I love all beach at Nusa Penida

Salah satu nya adalah Diamond Beach …",5 bintang
M Ilhamsyah,"Tiket:
Harga tiket masuk sebesar Rp. 35.000 mencakup wisata Diamond beach dan Atuh beach. Selain itu, wisatawan juga akan mendapatkan satu botol air mineral ukuran kecil.
Parkir:
Tersedia tempat parkir yang sangat luas untuk mobil maupun motor. Biaya parkir yaitu 2000 rupiah untuk motor dan 5000 rupiah untuk mobil. (harga saat saya ke sana).
Rute:
Jika berangkat dari wilayah utara Nusa Penida (sekitar pelabuhan Buyuk), maka kita tinggal ambil arah timur dan terus menyusuri pesisir. Jalan di wilayah pesisir relatif landai dan melewati pemukiman. Setelah itu, kita akan berbelok ke barat, memasuki wilayah perbukitan. Di sini, pemukiman mulai jarang sehingga tidak ada lampu jalan. Jalan bervariasi dari tanjakan dan turunan curam, kelokan tajam, jalan sempit, kiri kanan jurang, pokoknya pastikan kalau Anda mahir dalam menyetir mobil maupun motor. Ada satu tanjakan yang luar biasa membuat nyali bergidik. Seingat saya, tanjakannya cukup sempit kemudian langsung berbelok tajam sebanyak dua kali. Mendekati Diamond beach, tepat di depan sebuah kafe, juga terdapat turunan curam dengan kondisi aspal tidak bagus. Disarankan jika berboncengan, yang di belakang mungkin harus turun terlebih dahulu.
Pastikan cuaca bagus ya karena perjalanan akan berkali-kali lipat lebih beresiko jika dilewati dalam kondisi hujan atau gelap.
Fasilitas:
Terdapat toilet, warung makan (di atas maupun di pantai Atuh), serta kanopi dengan kursi panjang untuk tempat beristirahat dan berteduh.
Experience:
Diamond beach benar-benar menawarkan keindahan surgawi. Warna air lautnya bergradasi, taburan karst-karst menambah eksotik tempat ini. Untuk berfoto di tangga, memang perlu effort karena itu satu-satunya jalan menuju ke bawah namun tetap bisa kok. Tidak sesusah yang saya baca di ulasan-ulasan orang di mana harus antri sampai sejam. Selain di tangga, pemandangan dari atas juga cukup bagus. Saya sendiri tidak turun ke pantai karena menghemat waktu jadi jika ingin tahu bagaimana kondisi perjalanan menuju ke area pantai, bisa membaca ulasan lain atau melihat vlog di youtube.",5 bintang
Andry Pebadja,"(+) Terletak di wilayah timur Nusa Penida, Diamond Beach memiliki pemandangan yg sangat indah, cocok jadi spot menikmati sunrise jadi saya sarankan kesana di pagi hari. Ada warung makan, berdekatan dengan beberapa pantai lainnya, jarak ±1 jam perjalanan dari pelabuhan utama Nusa Penida, ±1 jam dari Kelingking Beach yang terletak di barat Nusa Penida. HTM 35k/org sudah dapat 1 botol air mineral. Diamond Beach dapat dinikmati dari atas dengan pemandangan tebing dan bebatuan yang indah juga bisa turun ke bawah dengan track yang sangat menantang karena sempit jadi harus ekstra hati-hati. Kalau mau eksplor sebaiknya ke Diamond Beach pagi hari buat sunrisean, kemudian lanjut ke Kelingking Beach dan tempat lain di arah barat buat sunsetan.

(-) Jalan ke arah Diamond Beach cukup sempit dan banyak lubang jadi harus hati-hati apalagi kalau papasan dengan mobil/motor. Tapi experience dan view di Diamond Beach worth it buat di kunjungi👍🏻👍🏻",5 bintang
Hendra Wahyudi,"Akses menuju pantai ini berliku-liku, penuh tanjakan dan turunan.. tapi, sebanding dengan pemandangannya! …",5 bintang
yudiyani saputri,"Sampai sini pas diatas jam 12 Siang. Panas bgt, tapi terbayar dengan Viewnya. Untuk foto harus antri, kebetulan pas long weekend jadi rame bgt. Gak sempet turun ke pantai dibawahnya, karna haru mengejar waktu balik ke pelabuhan sanur.",5 bintang
Cahyadi tan,"Alam dan pemandangannya seperti kayangan. Namun akses ke lokasi sangatlah jauh, jalan berlubang, jalan berpasir dan kerikil. Mengendarai motor sangat berbahaya. Dalam Perjalanan Mobil2 yg melintas dijalan terlalu cepat akhirnya motor sering …",4 bintang
syarifah zaimatus,"Kalau kesini siang usahakan membawa payung atau topi dan kaca mata hitam, lautnya biru poll dengan beberapa gugus hukit kapur untuk masuk ke tempat ini bayar 35.000 dan akan mendapatkan 1 botol minum air mineral ukuran kecil.",5 bintang
FINATUN MUSFIROH,"Mungkin ini yang namanya Surga Dunia, bagus banget seperti lukisan yang tergambar di depan mata. Bener2 unreal. Disini panas bangettt. Mau turun harus nyiapan fisik yang kuat. Sangat2 worth it buat dikunjungii. Jangan lupa bawa minum yg banyak, sunsreen dan topi",5 bintang
Rezi Falevi,"Salah satu pantai dengan view tercantik di nusa penida. Cuma foto diatas dan tangga aja udah seneng banget. Ga berani sampe bawah karna anak tangganya banyak banget, dan dikejar waktu juga karna ikut trip one day.",5 bintang
Hanz Traveler,"Liburan ke nusa penida tidak lengkap bila tidak berkunjung ke diamond beach tebing berbentuk permata , memiliki pantai indah , pasih alus , bagi yang mau makan malam di nusa penida saya recomen makan malam di holy penida restoran , makanan …",5 bintang
