User,Comment,Rating
Sri Ulina,"Saat mengunjungi tempat ini, sdh banyak perkembangannya. Dimulai dari kendaraan menuju area parkir, lalu kt mengantri untuk naik kendaraan wara wiri menuju GWK (ada antrian khusus prioritas yaitu lansia, berkebutuhan khusus), tiba di lokasi akan dilakukan scan QR code tiket, lalu masuk menjelajah mulai dari area terbuka berfoto dekat patung, stlh itu ke lt 2 menonton film GWK, lalu berjalan2 lagi menuju area batu2 besar yg sangat bagus. Sblm ke area batu2 ini, kami mengunjungi patung GWK yg sdh lengkap (dulu baru sebagian badannya), masuk gedung ini, pengunjung akan dimanjakan dengan pameran galeri kesenian miniatur ogoh2 yg beraneka macam, bila haus ada tempat membeli minum dan es krim, lalu menuju ke atas puncak GWK utk melihat view seluruh area tersebut di puncak patung. Namun jumlah pengunjung dibatasi utk menjaga keamanan dan kenyamanan lokasi. Kita jg harus membeli tiket lg bl ingin melihat dr atas.

Sebelum keluar area, kita bs menikmati teh gratis sambil melihat galeri lukisan disana hanya dengan menunjukan tiket kita. Stlh selesai, kt keluar melalui toko souvenir dgn aneka pilihan mulai dr kerajinan tangan, lulur, pengharum, oleh2 khas Bali dan juga ada restoran yg bs makan ditempat.

Menuju ke lokasi parkir kendaraan, kita harus berjalan kaki sekitar 200 meter menuju bus stop. Dari situ kt akan naik bus wara wiri lagi. Utk pengunjung prioritas, bs langsung menggunakan mobil buggy yg bs dipesan di tempat informasi.

Bila ke sana sebaiknya menggunakan topi atau membawa payung utk terlindung dr terik matahari. Pembelian tiket bs dilakukan scr online dan dilakukan jauh hari.

Selamat menikmati wisata :)",4 bintang
LIM FRIENDLY SITORUS,"Mantap banget, akhirnya jadi juga ke Bali dengan keluarga melalui perjalanan panjang..
Sebelum ke GWK Cultural Park siapkan fisik dan stamina anda karena jarak dr parkiran normal cukup jauh utk berjalan meskipun di sediakan shuttle..
Prefer parkir Valet yg harus bayar 100rb/orang tp deket pintu masuk, tp beli tiketnya terpisah dr pintu masuk jd tetep jalan juga.

Disarankan datang kesini pagi² meskipun tetep akan panas juga, buat kaum hawa bawa payung yg gak mau tanning dadakan..

Jarak dr pintu masuk ke patung GWK ada patung² bernuansa Bali yg cukup ikonik, cocok utk diabadikan dlm foto kenangan..
Sampai di puncak ternyata dlm gedung patung GWK, ada museum pembangunan situs ini tp perlu bayar tiket terusan yg lumayan mahal 250rb.

Abis puas sampe diatas, ke pintu keluar perlu jalan lagi yg cukup jauh juga tp cukup terhibur dgn pemandangan yg sangat ciamik..

Sampai di pintu keluar terdapat toko cinderamata yg menjual pernak pernik khas ..",4 bintang
ria rastika dewi,"tempat wisatanya bagus,bersih,byk angin..beli tiket yg regular 125k/org utk anak dihitung selama tinggi >100cm,kalo mau naik buggy car byr 40k/org. Tapii aku pilih jalan kaki, walopun terik, anginnya banyaak 🤭 dan bisa foto ditiap sudut jalannya..wisatanya emang patung dan ada bbrp pertunjukan,sukaa ❤️ …",4 bintang
Fina Merliane,"Perjalanan dari pintu gerbang menuju loket patung GWK menggunakan shuttle dan dari loket menuju patung ditawarkan dua pilihan, jalan kaki atau menggunakkan buggy (semacam golf cart) dengan rate 40rb per org. Di dpn patung ada fotografer yg menawarkan foto utk dicetak di tempat. Selembar foto dikenakan biaya 30rb, tapi kami diperbolehkan berfoto berkali2 dengan dibantu diarahkan gayanya oleh fotografer. Foto bisa diambil di toko souvenir Kencana di pi tu keluar sblm kami naik shuttle kembali ke pintu gerbang. Serunya, di dalam area GWK ada gerai gelato Capitano. Pas bgt dengan cuaca yg terik makan gelato. Untuk naik ke payung ada tambahan biaya sebesar 230rb per org, tapi kami tidak naik ke atas krn jadwal utk naik ke atas masih terlalu lama menunggunya. Dan biayanya terlalu mahal utk kami berempat 😅",5 bintang
lidia Lidia,"GWK 1 kata Capek jalannya, tapi terbayar dg view yg keren dan cakep banget,,
Ada baggi kalo gak mau capek, tapi aku nya sdh terlanjur jalan kaki..
Mahakarya yg luar biasa indah.",4 bintang
Stephani Eka,"Akhirnya bisa ke GWK juga setelah beberapa kali liburan ke Bali. Untuk akses jalan ke GWK lumayan ramai lancar, dari parkiran pengunjung ke atas bisa sewa naik buggy, kalau kuat bisa jalan kaki. Tersedia juga parkiran VIP diatas, lebih dekat dari tempat pembelian tiket.
Untuk harga tiket sangat worth it,  ga terlalu mahal.",5 bintang
Syamil Karim,"Datang dengan ekspetasi gede dan gw tetep dibuat takjub, good job untuk alam sutera group dan pemerintah udah mengelola GWK dengan baik.

Ada tiga paket, tapi gw saranin yang paket makan juga, harga tiket Rp300.000/orang. Meskipun kelihatan mahal, tapi lumayan dapat gratis makan di resto Jendela Bali sebanyak r
Rp200.000.
ada bundling +Rp25.000 untuk naik jeep, tapi kalau kuat jalan mending gausah.

Disaranin kalau udah selesai melihat GWK Dan udah balik ke lobby lagi, cobalah ke auditorium ada pertunjukan tari Bali, asik kok.

Satu lagi, di sini banyak jalan kakinya, jadi kalau gak memungkinkan untuk jalan ya gak usah dipaksakan.",5 bintang
EUODIA DEASY,"View di GWK sangat bagus. Ada beberapa hal yg mungkin dapat membantu temen2 yg baru pertama kali ke GWK seperti saya.
1. Jarak antara parkir umum dgn ticket counter cukup jauh, disediakan shuttle bus gratis. Tersedia juga parkir VIP (berbayar).
2. Lokasi ticket counter dgn GWK cukup jauh, kondisi jalan menanjak.. kalau saya pribadi menyarankan utk menyewa buggy (@40rb/orang), apalagi jika bersama orangtua/anak².
3. Jika langit sedang cerah, disarankan utk membawa/menyewa payung dan memakai topi utk menghindari panas sinar matahari. Jangan lupa jg memakai sunscreen & body lotion.
4. Saya pribadi prefer utk datang di jam 15.00-16.00 wita, supaya pada pukul 18.00 wita bisa menyaksikan pertunjukan Tari Kecak x Ogoh-ogoh dan tidak menunggu terlalu lama.

April, 2024
- Tiket @125rb/orang (jika memilih yg paketan @300rb/orang)
- Sewa buggy @40rb/orang",5 bintang
syahnara syahwan,"Setelah terakhir kesini 2015 akhirnya kesini lagi.
1. Parkir mobil masuk di kantong parkir, nanti ke lokasi pembelian tiket akan di antar menggunakan buggy car atau bus kecil
2. Ada 3 harga tiket yg bisa kita ambil pertama Rp. 125 rb kedua Rp. 250rb (dapet voucer makan di resto senilai Rp. 200rb) dan Ketiga Rp. 300rb (masuk ke patung GWK, ada pemandu yg akan menjelaskan di dalam patung serta dapat melihat view dari dalam patung).
3. Untuk masuk ke dalam patung, jika kota tidak beli tiket yg harga Rp. 300rb, bisa dibeli di lokasi dengan harga Rp. 250 rb dan kalau beli tiketnya setelah jam 7 malam menjadi Rp. 125 rb
4. Nah menuju patung cukup pr karena lumayan jalan kaki nya, klo mau ndak capek ada buggy car cuman dia akan antar dari lapangan (tengah) tempat pertunjukan kecak sampe lokasi patung GWK tapi tidak gratis yah, sekali perjalanan Rp. 40 Rb
5. Didalam area yg jualan minuman hanya 1 gerobak saja dengan harga percup Rp. 45rb nah klo kita mau nyari di luar area bisa koq, ijin aja sama petugas yg jaga pintu, jadi nanti kita bisa masuk lagi, mayan beli air mineral ukuran 1,5 L dengan harga Rp. 15rb cukup menghemat, mengingat kami jalan 4 pax, jadi cukup beli 1 aja 😁
6. Area spot foto banyak.. tinggal kita eksplor aja.
7. Kurangnya, ndak ada petunjuk kapan pertunjukan seni dimulai, yah kaya dapat selebaran sih mungkin yah atau minimal ada papan informasi atas jadwal pertunjukanmya (atau saya aja yg ndak nemu 😅)
8. Seluruh stafnya ramah2.. jangan sungkan klo bingung untuk bertanya 😊",5 bintang
Fifa Zaqia,"Tiket 120rb beli online. Kamar mandi bersih, staff ramah, I had a good experience in here. Worth it sih. Saya berangkat jam 1 sambil menikmati semua hiburan yang disuguhkan, sampai terakhir yang ditunggu² tari kecaknya",5 bintang
Asmuji,"Garuda Wisnu Kencana cultural park adalah mahakarya seni yang luar biasa. Ada patung garuda, patung wisnu dan ada monumen Garuda Wisnu Kencana, pada bagian lantai dasar terdapat museum tentang kebudayaan masyarakat pulau Bali. Tiket masuk …",5 bintang
Bro Putu,"Taman wisata budaya Bali yang sangat luas, dari Parkir mobil harus naik Shuttle menuju ke area ticketing, disana bisa beli tiket masuk ataupun package dan sewa Buggy untuk ke area Patung GWK karena jaraknya yang lumayan jauh apalagi bagi …",4 bintang
Andika Fitra Nurcahya,Kembali berkunjung setelah terakhir di tahun 2016. Dan terpukau dengan patung raksasa yang saat ini sudah rampung proses pengerjaan nya. …,5 bintang
Angki,"GWK (Garuda Wisnu Kencana) adalah salah satu destinasi wisata yang sangat populer di Bali. Namun, sebelum saya memulai ulasan, saya ingin menyampaikan pendapat saya mengenai beberapa ulasan dari turis, terutama dari bule, yang menyebut …",2 bintang
Putri L A (Arum),"Best experience here! Pernah kesini 3x dengan jarak waktu cukup lama. Perkembangannya sangat baik, semakin megah, dan internasional. Tentunya harga tiket semakin mahal. Ada pertunjukan tari-tari, tempat istirahat dan bermain anak-anak, dan beberapa iconic tempat foto. Siap siap tenaga karena bakal jalan jauh, menyediakan bis juga",5 bintang
eddy wonsa,tempatnya luas bgt..banyak spot foto rekomend buat liburan bersama keluarga  tercinta..plus bisa nonton tari kecak sehabis keliling seharian gratis sudah termasuk dlm tiket..,5 bintang
Luh Eka Anggreani,"Great experience to be here! Iconicnga Bali. Ada layanan buggy car dengan tambahan biaya untuk yang mager jalan kaki. Setiap sore ada pertunjukan kecak. Di dalamnya ketika mendekati pintu keluar jg ada studio fotonya jg, ada jendela bali resto bagi yg mau dinner. Pelayanan lengkap, full experience",5 bintang
Ester Kristin Kaesang,"Tempat yang indah untuk dikunjungi, wajib foto2 karena banyak spot foto yang bagus, tertata rapih dan bersih. Toilet bersih. Ada amphitheatre gratis. bis rombongan boleh masuk sampe pintu depan, tapi area parkir kendaraan pribadi agak jauh dari pintu masuk jadi nanti ada shuttle bus yg disediakan gratis dari parkiran menuju pintu masuk.",5 bintang
Rianty KSR,"Kawasan yang sangat luas namun tersedia mobil sewa yang bisa mengantarkan anda sampai ke bawah patung GWK nya.
Saat masuk disuguhi oleh penampilan para seniman yang memiliki jam tayang nya …",5 bintang
Apa iya?,Destinasi wisata yang terkenal patung tertinggi dan besar selain itu kita juga disuguhi dengan tarian khas bali dengan cerita yang menarik dan bersejarah. Selain berwisata atau refresing kita juga mendapat ilmu atau wawasan. keren sih,5 bintang
Bu Guru Anik Rahmawati,"Des 2023 sudah tertata dan sudah lebih bagus. Kalau pengen naik sampai ke lokasi patung GWK, tapi males jalan kaki, lebih baik pakai buggy car, tiket bisa dibeli bareng dg pembelian tiket masuk. Tiket masuk 125 K",5 bintang
Dewi Margi,"Bgs, bersih, gak beli tiket msk museum pun sdh puas 😃 kuliner byk, hrg sesuai, …",5 bintang
Frisky Tandaju,"Saat ke GWK kebetulan ada persiapan event jadi hanya bisa jalan kaki dari drop area sampai patung GWK.
Banyak spot foto bagus.
Pertunjukan seninya mantap 👍 …",5 bintang
BAYU BIMA WIDA FIRMANSAH,"Karya anak bangsa yg patut diapresiasi

Sayang sekali, saat kami datang plaza wisnu close untuk Gala dinner",4 bintang
Aanatassia,Taman luas dengan view yang cantik dan sore hari akan disuguhkan tarian-tarian khas Bali. Parkiran luas dan agak jauh dari pintu masuk tapi disediakan bus antar jemput. Anda bisa naik ke atas patung jika membayar sejumlah uang. Banyak sekali spot foto. Nilai plus toilet bersih.,5 bintang
Narindra Wikansari,"Area wisata yang sangat luas, menyajikan patung raksasa berupa burung Garuda dan Dewa Wisnu, pada jam-jam tertentu ada pertunjukan tari khas Bali yang bisa dinikmati. Tempat sangat bersih dan menyediakan berbagai kebutuhan konsumen (toilet, …",5 bintang
Hendy DP,"Sempatkan berkunjung ke GWK kalau anda sedang liburan di Bali. Tiket paling murah 125k, tambahan 40k untuk yang mau pakai buggy car. Ada berbagai macam pertunjukan tari dan budaya Bali. Untuk anak-anak ada bioskop kecil yang memutarkan film …",5 bintang
Keperluan Penelitian,"Salah satu tempat yang wajib dikunjungi saat ke Bali. Taman Garuda Wisnu Kencana menyuguhkan taman dengan suasana unik serta patung-patung yang menjadi perhatian utama tempat ini. Ada 3 patung besar di tempat ini, patung Wisnu, patung …",5 bintang
agusp84,Tempat yang menarik...seperti bukit dibelah...banyak spot foto...tempat yang sangat bagus buat acara outdoor...kayak konser atau bahkan acara pernikahan...,5 bintang
Fikri Putra,"Ngerasa beruntung berkesempatan dateng kesini dan liat karya seni luar biasa.

Saran kesini pagi-pagi, mengingat cuaca yg cukup panas dan track jalan yg cukup jauh. Cocok lah untuk jalan santai pagi hari",4 bintang
essymeralda,seru banget dengan berbagai penampilan seni yang ada di GWK. Dari pagi sampai sore selalu ada penampilan. Engga rugi kalau mau seharian di GWK. …,5 bintang
herqutanto,"Tempat wisata Patung GWK terdapat tarian tradisional dan museum seni dan kerajinan, serta pusat souvenir",5 bintang
Sea Pit,"View cantik, suasana adem, luas, pertunjukannya memukau, Kondisi bersih, tanaman-tanaman terlihat terawat dan subur. …",5 bintang
Wanzul Karnain,Bagi kalian yang ingin mempelajari budaya dan kesenian bali tempat ini wajib kalian datangi. Kemarin aku kesini naik motor jadi harus parkir di parkiran dan dari parkiran kalian bakal naik shuttle bus yang disediakan untuk sampai di pintu …,5 bintang
