User,Comment,Rating
Rhere Retno,"Luar Biasa                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , buat foto disini tuh butuh effort sekalii..                                                                                                                                                                          ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Antriannya panjang                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     , nunggu nya lama dan panas bgt.. Untung di antriin sama bli nya                                                                                                                                                       ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Tapi semua itu terbayarkan dengan lihat keindahan alamnya yg masya Allah luar biasa indah bangettt..                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Nusa Penida harus jd Destinasi yg wajib dikunjungi sih kalau mau liburan ke Bali                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Krn pantai2 nya Indah bgt                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , Klingking Beach ini salah satunya..                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Untuk spot fotonya ada yg berbayar dan ada juga yg free yaa..                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Kalau yg free biasanya tour guide nya yg antri buat kita                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Nah sambil nunggu bisa deh antri di spot foto yg berbayar 10 ribu per orang                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Let's go masukin ke Whislist Holiday mu ❤️😍",5 bintang
Andry Pebadja,"(+) View cliff di kawasan pantai Kelingking sangat bagus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , banyak spot foto yang instagrammeble                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                , banyak warung makan                                                                                                                                                                                                  , cocok buat spot mandi di pantai atau surfing kalau turun ke bawah                                                                                                                                                                  , akses ke area pantai cukup dekat dari pelabuhan utama Nusa Penida ±20mnt                                                                                                                , HTM sudah include saat masuk kawasan Nusa Penida hanya perlu bayar parkir 5k. Saran kalau mau ke Kelingking Beach saat jam sunset karena pantainya di Barat Nusa Penida jadi cocok bgt buat spot sunsetan👍🏻,                                                       ,                                                                                                                            ,                                                         ,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
(-) Akses jalan ke kawasan pantai Kelingking banyak yang rusak (berlubang)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               , sempit jadi harus hati² apabila papasan dengan pengendara dari arah berlawanan                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      , karena didominasi landscape pantai berbentuk tebing jadi buat dapetin foto yg bagus harus ttp perhatiin keselamatan                                                                                                  , kalau mau turun ke bawah tracking nya sangat terjal dengan batuan tajam di beberapa titik                                                                                                                                          , kemudian sempit jadi harus antri dengan pengunjung lain yg turun/naik                                                                                                                   , so kalau mau turun pastikan sudah isi tenaga yg full apalagi kalau musim panas pastikan membawa air minum dan pakai sunscreen☀☀                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Buat yang suka main ke alam dengan tracking menantang, Kelingking beach sangat cocok. Worth it sama view dan experience yang didapat di Kelingking Beach👍🏻👍🏻",5 bintang
Jino Jiwan,"Kualitas jalan dari pelabuhan ke lokasi cukup baik. Hanya saja harus siap naik-turun dan belak-belok.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Lahan parkir luas tapi masih tanah. Dari parkiran menuju ke pantai masih cukup jauh. Cuaca bisa sangat terik dan panas                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   , sehingga pastikan kamu membawa bekal minum memadai dan tabir surya                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  , karena harga makanan dan minuman bisa sangat mahal. Penjualnya main getok! Misalnya                                                                                                                                  , kopi kalengan dan es krim masing-masing dihargai Rp.25k.                                                                                                                                                                           ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Spot foto ada banyak tapi mungkin untuk tahu mana yang bagus                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             , perlu mengikuti anjuran pemandu wisata.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,                                                                                                                                                                                                                      ,                                                                                                                                                                                                                                    ,                                                                                                                                                                                         ,                                                                                                                                                                                                              ,                                                       ,                                                                                                                            ,                                                         ,
Ada akses jalan turun ke pantai, tapi menurut pemandunya bisa berdurasi 1 jam berjalan kaki. Tidak berminat mencoba karena sekali lagi cuaca sangat panas",4 bintang
