User,Comment,Rating
Zaki Rahman,"Pemandangan jelas instagramable.
Tiket masuk 30ribu untuk orang dewasa. Anak 2 tahun nggak dikenakan biaya.
Ada toilet gratis di dekat parkiran (kalau di dalam, bayar 3rb)
Datang ke sini paling cocok sore sambil nungguin sunset
Oleh-oleh atau suvenir banyak di dalam",5 bintang
niadaniati_1315,"Kesini seru banget . Nuansanya berasa magic Hindu gitu... Tapi gabisa masuk kedalam pura ya, cuma bisa ke gate aja.. disini ada air suci tapi nanti bayar seikhlasnya aja.. murah banget ya tiketnya, karena emang buat ngeliat pura sih... Tapi bagus banget kesini .. mending datangnya jam 10-11 biar bisa nyebranv ke pura soalnya kalo pagi atau sore banget airnya pasang. Hehe... saran liburan ke Bali dan keliling semua Bali mau beli oleh oleh mending di sini aja, daripada ke tempat yang lain. Ngerasain nyesel beli oleh oleh di Canggu harga 3 kali lipat karena untuk turis manca Negara. So, pastikan oleh oleh disini aja belinya.",5 bintang
Oyi Tok,"Yang mau wisata dan sayangnya sudah hari terakhir sebelum menyebrang ke Pulau Jawa, bisa mampir sini sebentar kawan. Wisatanya bagus, bersih, dan parkiran luas. Banyak pedagang oleh oleh, ada kaos, celana, sandal, kerajinan tangan dll. Menurut saya, untuk harga lebih murah di sini, daripada di Pasar Sukowati.

Sedikit cerita juga, saya parkir mobil di blok B2, baru sampai dan mau buang sampah. Di belakang mobil kami ada tempat sampah, cuma tempat sampahnya ada di depan warung bernama ""WARUNG SOLO MUSLIM"" , bukannya ditawari makan / minum untuk larisi dagangan nya, saya malah dimarahi karena buang sampah di tempat sampah. Ini masih di tempat sampah buangnya, apalagi buang sembarangan ya, bisa dibayangin marahnya macam mana 🤣

Jadi untuk wisatawan yang mau berkunjung ke Tanah Lot, hati hati ya kalo mau buang sampah ke tempat sampah, tanya dulu ke sekitar, boleh gak buang di situ ehehehe",5 bintang
Juwita Natalia,Tempat yang bagus untuk dikunjungi bersama keluarga ataupun teman-teman. Banyak spot foto terutama sempetin foto bersama ular sanca😱😅🐍 atau bisa juga foto dengan ular suci dimana kita bisa make a wish (info dari bpk penjaga) 🙏👍terus lanjut jalan menyebrang laut menuju Pura 🙏,5 bintang
Komang Risnaya,"Pura Tanah Lot adalah salah satu landmark terpenting di Bali, yang terkenal dengan pemandangan lepas pantai dan latar belakang matahari terbenam yang unik. Sebuah kuil Hindu kuno yang bertengger di atas singkapan di tengah-tengah deburan ombak; Pura Tanah Lot adalah salah satu ikon Bali yang tidak boleh dilewatkan. Lokasi daratan kompleks Pura Tanah Lot dipenuhi dengan tempat-tempat suci yang lebih kecil serta fasilitas rekreasi pengunjung yang terdiri dari restoran, toko, dan taman budaya di mana pertunjukan tari ditampilkan secara rutin. Pura ini terletak di desa Beraban, Kabupaten Tabanan, sekitar 20 km barat laut Kuta. Hal ini sering disertakan dalam tamasya dan wisata budaya ke wilayah barat dan tengah Bali.",5 bintang
Bro Putu,"Pura Tanah Lot adalah Pura suci yang disakralkan oleh Umat Hindu khususnya di Bali, selain sebagai tempat sembahyang Tanah Lot terkenal sebagai destinasi wisata yang terkenal di dunia dengan keindahan alamnya serta yang Paling dinantikan dari tempat ini adalah saat matahari terbenam yang benar-benar sangat indah sekali jika tidak ada mendung.
Ditempat ini juga terdapat beberapa komplek Pura, toko souvenir, Restaurant dan Café.
Untuk tempat parkir disini sangat luas sekali jadi tidak perlu khawatir tidak dapat tempat parkir.
Yang perlu diperhatikan bagi pengelola tempat ini adalah ketersediaan toilet gratis dibagian Parkir belakang, karena saat ini hanya tersedia Toilet gratis di bagian dekat pembelian tiket masuk sedangkan di area belakang hanya tersedia toilet berbayar milik masyarakat lokal disana, mengingat harga tiket masuk yang sudah naik maka harus di imbangi pula dengan penambahan dan perbaikan prasarana untuk kenyamanan para tamu.",5 bintang
Abu Yasid,"Wajib bagi kamu2 yg ingin mengabadikan moment bersama teman, saudara, keluarga km disni. Tempat bersih dan menyediakan warung oleh2 untuk kamu bawa pulang",4 bintang
Arman Saebah,"Soal pesona keindahan alamnya Tanah Lot memang tak pernah pudar. Pantai dengan view fothografi yg indah. ""Memang ada beberapa titik di temukan sampah,di pantai misalnya. Tp tdak sbanyak di Sanur"" tp untuk sekelas Bali sharusnya lebih bisa bersih lagi..💪💪

Hanya saja untuk yg hobi foto2 lebih baik tidak datang di akhir pekan,karna biasanya trlalu ramai orang.

Mengingat mayoritas warga lokal adlah non Muslim,sdh ada Mushola saja sangat bersyukur.

Untuk biaya parkir dan fasilitas umun misal toilet smuanya sangat wajar dan tidak mencekik.
""Di banding bberapa tmpat lain yg prnah sy kunjungi,retribusinya kadang tdak masuk akal.""",4 bintang
Fahrudin Darmawan,"Salah satu objek wisata yang wajib dikunjungi ketika di Bali. Tempatnya sangat bersih dan tertata sekali. Hal itu yang menjadikan Bali memang wisata Internasional dengan budaya yang khas. Tempat parkir sangat luas. Beberapa tempat sekarang terdapat musholla dan tempat untuk wudhu. Banyak yang berjualan di sekitar tempat menuju ke pantai tanah lot. Terdapat cafe, mixue dan beberapa tenan es krim lainnya yang membangkitkan ekonomi masyarakat sekitar. Tempat masuk dan keluar pun juga berbeda sehingga terlihat lebih rapi. Semoga dapat berkunjung kesini lagi.",5 bintang
Moh. Imron,"Tanah lot adalah pantai dengan keunikan ada pura yang berada di atas batu karang di tengah laut dekat pantai. Batu karang tersebut terpisah dengan batu karang yang lainnya dan bilamana air laut sedang pasang, Pura Tanah Lot terlihat seperti mengapung karena dikelilingi oleh air laut yang berombak. Di namakan Pura Tanah Lot mengandung makna yaitu tanah yang ada di tengah laut. Bila air surut, Pura Tanah Lot yang dibangun di atas batu karang seluas ± 3 are dan dapat dicapai dalam beberapa menit dengan berjalan kaki, karena hanya berjarak sekitar 100 meter dari tepi pantai. Selain keindahannya, tanah lot juga menyimpan legenda yang sampai sekarang masih diyakini kebenarannya oleh sebagian orang.

Tanah Lot merupakan obyek wisata yang sangat terkenal, hampir setiap wisatawan yang liburan ke Bali pasti menyempatkan diri menikmati obyek wisata ini. Tanah Lot terletak di desa Beraban, kecamatan Kediri, kabupaten Tabanan, di barat daya pulau Bali, sekitar 33 km di sebelah barat kota Denpasar atau berjarak sekitar 11 km di sebelah selatan kota Tabanan. Di Tanah Lot terdapat dua pura, Pura Tanah Lot yang terletak diatas sebuah batu karang besar yang berada di tengah pantai. Di sebelahnya terdapat satu pura lagi yang terletak diatas tebing yang menjorok ke laut. Berdasarkan asal-usulnya pura ini memiliki arti sebagai ""tanah laut"" atau ""tanah di laut"". Kata Tanah Lot mempunyai makna dari kata ""Tanah"" yang diartikan sebagai batu karang yang menyerupai gili atau pulau kecil, sedangkan kata ""Lot atau Lod"" mempunyai arti laut. Sehingga nama Tanah Lot diartikan sebagai pulau kecil yang terapung di tengah lautan.
Tanah Lot terkenal dengan pemandangannya yang indah. Bila cuaca cerah, kita dapat melihat matahari tenggelam (sunset) yang sangat indah, yang dapat membuat mata berhenti berkedip. Dijalan menuju pantai Tanah Lot banyak dijumpai penunjang pariwisata seperti hotel, restaurant, art shop, dan lainnya. Waktu yang baik untuk berkunjung kesana adalah pukul 16:00, jadi kita dapat melihat-lihat pemandangan dengan tebing yang curam, pura Tanah Lot yang mengagumkan, dan pemandangan pantai sambil menunggu sunset.
Menurut legenda, pura Tanah Lot dibangun oleh seorang Brahmana suci yang bernama Danghyang Nirartha atau disebut juga Ida Pedanda Sakti Wawu Rauh atau Danghyang Dwijendra pada abad ke 16. Beliau datang dari Blambangan, Jawa Timur, ke Bali untuk menyebarkan dan menguatkan ajaran agama Hindu. Beliau mengadakan perjalanan suci (dharmayatra) dengan berjalan menyusuri pantai selatan pulau Bali mulai dari daerah barat sampai ke daerah timur.
Dalam perjalanan tersebut, akhirnya beliau sampai pada sebuah pantai di daerah Tabanan, yang tidak jauh dari desa Baraban. Di tempat ini Danghyang Nirartha membangun pura dan menyebarkan agama Hindu. Pada saat itu penguasa Tanah Lot, Bendesa Beraben, iri terhadap beliau karena para pengikutnya mulai meninggalkannya dan mengikuti Danghyang Nirartha. Bendesa Beraben menyuruh Danghyang Nirartha untuk meninggalkan Tanah Lot. Beliau menyanggupi dan sebelum meninggalkan Tanah Lot beliau dengan kekuatannya memindahkan Bongkahan Batu ke tengah pantai (bukan ke tengah laut) dan membangun pura disana.
Danghyang Nirartha juga mengubah selendangnya menjadi ular penjaga pura. Ular ini masih ada sampai sekarang dan secara ilmiah ular ini termasuk jenis ular laut yang mempunyai ciri-ciri berekor pipih seperti ikan, warna hitam berbelang kuning dan mempunyai racun 3 kali lebih kuat dari ular cobra. Ular ini dipercaya dapat memberikan keselamatan dan mengabulkan doa orang yang menyentuhnya Akhir dari legenda menyebutkan bahwa Bendesa Beraben 'akhirnya' menjadi pengikut Danghyang Nirartha.
Selain terdapat ular yang hingga saat ini masih menjadi kepercayaan penduduk setempat, hal fenomenal lainnya adalah terdapat sumber air tawar di sisi utara Pura Tanah Lot padahal Pura ini terletak di atas pantai. Setiap pengunjung bisa meminum air suci tersebut atau sekadar membasuh tangan dan wajah yang konon banyak manfaatnya. Salah satunya diyakini bahwa air suci ini bisa menyembuhkan beberapa penyakit yang",4 bintang
