User,Comment,Rating
Hanz Traveler,"Sawah Terasering Tegalalang

Sawah Terasering Tegalalang merupakan destinasi wisata Bali yang saat ini sedang digemari oleh masyarakat.

Tempat wisata ini dapat memanjakan mata dengan pemandangan sawah yang unik dan menarik.

Untuk masuk ke tempat ini masih tergolong murah, Moms hanya perlu merogoh kocek sekitar Rp10.000 saja.

Tempat ini sangat cocok untuk Moms yang inging healing dari penatnya pekerjaan.

Sawah Terasering Tegalalang berlokasi di Jl. Raya Tegallalang, Tegallalang, Kabupaten Gianyar, Bali.",5 bintang
Iwan Pramana,"Saat berwisata ke kawasan destinasi wisata ubud, rice terrace Tegallalang bisa menjadi salah satu destinasi pilihan untuk menikmati keindahan alam dan persawahan terasering. Dengan merogoh kocek sekitar Rp. 25.000,- yang akan dimanfaatkan bagi pengembangan wisata di kawasan desa wisata, kita bisa menikmati keindahan desa. Untuk anda yang ingin menikmati permain adu nyali ada Flying Fox dan swing di lokasi rice terrace.",5 bintang
Arista Aulia,"Bagus buat foto - foto, sudah tersedia jasa dokumentasi yg berpengalaman.

Agak tidak cocok untuk lansia, karena cukup melelahkan berjalan naik dan turun di lokasi fotonya.

Tersediakan café buat yg mau duduk santai sambil menikamati pemandangan.",4 bintang
Maria Hertanti,Tempat yang indah dan estetik jika ingin foto bertemakan alam. Disarankan jalan ke sini menggunakan sepatu. Jalanan kadang cukup berlumpur dan kalau tidak hati-hati bisa terpeleset. Tiket masuk per orangnya 25 ribu.,5 bintang
Dewa Sudarma,Salah satu tempat wisata yg berada di desa tegalalang dengan pemandangan sawah yg bertingkat tingkat...suasana sejuk ada spot untuk tempat photo dan aktivitas swing,5 bintang
Ria Lutfiani,"Kmrn pas ke Bali, pgen cari suasana baru, kita cobain ke Ubud. Nah kita putusin ke area tegalalang nih. Sejuk banget, disana banyak resto2 yg menyajikan view bagus dan swing. Makanannya kelas bule, jadi harganya sangat pricey ☺️ kl mw naik swing bayar lagi, mw foto2 diarea bawah bayar lagi. Tp pemandangan nya bagus memang 😍😍 …",4 bintang
Ahmad Haqiqi Rino,"Tempat Bersih, tiket standart tp kalau bisa lebih murah lagi, ramai pengunjung tp belum sempat masuk sampai jalan karena waktu terbatas. Rekomendasi lah sebagai objek wisata.",4 bintang
K.,"Back then in 2019, visited here for vacation. Viewnya bagus, cuma mesti bawa topi/kacamata hitam.",5 bintang
laura sihite,"Tempatnya bagus dan lumayan ramai saat liburan.
Semoga cepat di perbaiki semua spotnya supaya lebih ramai lagi pengunjungnya 👍 …",5 bintang
Kawaii Chan,Lokasi persawahan tidak jauh dari jalan raya. Tidak ada tiket masuk. Kendaraan dapat diparkir di beberapa warung/restoran disepanjang jalan. Dan pemandangan persawahan dapat dinikmati dari warung/resto tersebut. …,3 bintang
george sukses,"Salah satu kawasan wisata favorit didaerah Ubud, parkir mudah, suasana juga sangat mendukung untuk kegiatan alam. Ada beberapa pilihan aktivitas yang bisa kita ikuti seperti track di pematang sawah, ayunan dan meluncur diatas terasering. Oh ya ada juga spot foto romantis buat kalian semua ❤️",5 bintang
Natalie Parfum,Konsep menanam padi terasiring yang terunik dan tiada duanya hanya ada di bali. Tracking pagi2 disini dengan pemandangan yang indah,5 bintang
Febryanto,"Wajib datang kesini, bayar masuk untuk Indonesian Rp 25K, parkir di tepi jalan, datang pagi, diatas jam 10 akan sangat panas, siapkan fisik karena naik turun tebing dengan tangga yg kadang sangat curam, warga sekitar sangat ramah, bahkan …",5 bintang
alwi sodiq,"View persawahan dan udaranya sangat sejuk, sayang waktu berkunjung, tanaman padinya sudah di panen",5 bintang
Agustian Teddy,"Tempat sejuk dan asri, pelayanan ok.
Cocok untuk tempat berlibur melepas penat",5 bintang
Yang Tersakiti,"Cukup menarik, tp sawahnya kq ga sesuai dg gambar di ig ya wkwkwk.. udh ga ada padinya, hanya tumbuhan ilalang dan rumput gajah aja..
Plusnya banyak saluran kran air bersih buat cuci tangan dan kaki. Pengen ayunan …",5 bintang
Wahyu TD,"Ke sini sesuai map, parkir di tempat parkir dan jalan kaki. Jalan kakinya lumayan jauh, ke sawah2nya naik turun. Lelah terbayar dengan pemandangan yg epik🤘🏽 …",4 bintang
dimas dipadina,Sebaiknya dibuatkan jalur khusus menuju obyek pemandangan terasering yg menjadi view utama ceking ini. …,4 bintang
deddy hermawan mohamad,"🔆 Salah satu tempat yang patut dikunjungi ketika berkunjung di Ubud.
Berlokasi di sebelah utara Ubud dengan waktu tempuh 15 menit dengan kendaraan bermotor …",5 bintang
Erna waty,"Tempat  yang indah ...sepanjang mata melihat hamparan sawah ..
Sambil ngopi melepaskan kepenatan sejenak....terimakasih semesta...",5 bintang
Mochammad Fairuz Atalla Arianto,"Pemandangannya bagus banget, asri dan udaranya sejuk",5 bintang
Nimailurophile,"Tempat yang sangat menarik. Untungnya datang ke sini pas padinya sedang hijau jadi dapat pemandangan yang sangat bagus.
Beberapa bulan sebelumnya, kawan saja berkunjung saat padi sudah panen jdi …",5 bintang
Heri Hall,Bagus pemandangan sawah di sini. Bisa trekking masuk bayar 25 rb. Atau bisa menikmati pemandangan di restoran yang ada di sini. Di sini juga banyak yang jual lukisan dan toko souvenir.,5 bintang
yuni naomita,"Pertama sekali ke Terrace Rice Field biasa saja dan tidak terlalu indah seperti di photo ✍
Petugas dari awal masuk sudah stand by memberi kita nomor tanda masuk dan …",4 bintang
PQ prasetyo,"Sejujurnya saya sedikit kecewa karena ketika kesana susana terasering cukup gersang, ada sedikit perbedaan dari yg saya lihat di foto2.. setelah saya pikir lagi, sepertinya timing saya yg kurang tepat ketika berkunjung.. …",5 bintang
Heru Chandra,tempat wisata yang bagus viewnya dan eksotis.,5 bintang
Dede Purnama,"Bagus banget bule"" pasti amazed tiap kesana liat sistem riceterrace di indonesia ❤️
Dan stiap saya bawa tamu kesana semua pasti bilang beautiful",5 bintang
Mariandi Andi,"Wisata di Tegallalang UBUD ini adalah wisata di tebing sawah kita melihat dari atas sejauh mata memandang disuguhkan view sawah membentang serta object foto disana sini dengan indah, tempatnya instagramable, cucok untuk selpie",5 bintang
Yunita Fera Rahmawati,"Harga tiket mahal, 25ribu per orang. Untuk jalan setapak kurang lebih 1,5 jam. Perlu berhati-hati karena licin, banyak spot foto yang semuanya masih berbayar lagi. …",4 bintang
I Gusti Ngurah Suaryasa,Rice Terrace yang indah dan hijau. Di beberapa sisi ada flying fox dan kolam renang serta ayunan di antara pohon kelapa. Tanaman padi menghijau karena baru ditanam beberapa minggu. Suasana pengunjung sangat ramai. Parkir tersedia free.,5 bintang
Rins Syafeí,"Tempatnya cukup indah, tapi sayang tidak ada petunjuk dari mana mulai dan keluar lewat mana. Tanya sama ibu penjual minuman di dalam sana katanya jalan terus.jalannya ada yang agak licin dan curam ,di sana juga ada nenek yang teriak² minta …",1 bintang
fedro Daniel,"Pertama.. viewnya ok bgt, coba pas padi pada siap panen cakepppp pasti..👍👍

Pisang goreng sambil nge teh n ngopi2 joss.. …",5 bintang
Duaitd Kolibongso,Tempat yang menyenangkan bagi yang menyukai wisata alam.,5 bintang
shafa ramadhan,Tempatnya bagus.c uma pas dateng kebetulan lagi gaada padinya 😭. Dengan bayar 25k menurut aku lumayan mahal si. Untungnya udah include parkiran dan nyebrang ke teraseringnya. Kalau mau naik ayunan bisa bayar 150k perorang. Enak kalo suka hiking pasti kuat. Kalo jarang olahraga pasti ngosngosan kaya saya wkwkwkwk …,4 bintang
Handoko Handoko,"Tempat yang asyik dan santai untuk menikmati pemandangan hamparan sawah terasering di Bali.
Sambil menikmati pemandangan anda juga bisa menikmati beberapa hidangan dan …",5 bintang
