User,Comment,Rating
Andri Andri,"View tari kecak di sni sangat indah. Kami membeli tiket untuk pertunjukan pertama pukul 18.00 . Lebih baik datang lebih awal karena jalan menuju Uluwatu sangat macet. Dan saya sarankan jika ingin melihat pertunjukan tari kecak beli tiket online saja, saya beli di traveloka. Jika beli on the spot antrinya panjang sekali. Secara umum pertunjukan sangat bagus. Hanya saja saat pertunjukan di mulai petugas masih berusaha mencarikan tempat duduk untuk pengunjung baru jd sedikit mengganggu kami menikmati pertunjukan. Tapi selain itu semua bagus.",5 bintang
Junaidi / 23.112,"Iya kesini karena ingin menonton tari Kecak di Pura Luhur Uluwatu, menyajikan tarian Kecak dari Sanggar Seni Tari warga setempat dengan pementasan Tari Kecak legenda Ramasinta, sungguh agenda wajib yang harus dikunjungi apabila ke Bali, dengan latar belakang sunset yang sangat indah menemani pertunjukan. Dengan harga tiket masuk Rp. 150.000,- per orang yang pertunjukannya dua kali sehari pada jam 18.00 dan jam 19.00 Wita, apabila kesini juga berhati-hati dikarenakan ada monyet-monyet yang bisa mengambil barang bawaan pengunjung, mungkin dikira makanan kali, jadi yaitu ajaaa pengalamannya, oh iya disarankan untuk membawa motor apabila kesini dikarenakan macetnya minta ampun jadi kelamaan di jalan, kalo pakai motor bisa sat-set nyelip-nyelip diantara mobil yang melintas, sekian dari saya terima kasih.",5 bintang
Idang Ardian Rekasandi,"Tempatnya lebih cocok untuk sunset katanya tapi menurutku lebih bagus di siang hari karna lumayan sepi. Hati hati sama monyetnya apalagi kalo sendirian, karna saya datang sendirian akhirnya minta ditemenin pak wayan (tour guide) meski harga jasanya 150rb (mahal untuk wisatawan domestik) tapi gapapa pak wayan benar² mengarahkan harus kemana, foto di spot mana, dan tentu lebih aman dari monyet

HTM 30rb
Biaya restribusi untuk motor 1rb",5 bintang
Sonia Nilasari,"Pura yg bagus.
Ada banyak monyet disana
Harus waspada sama kacamata biar tdk di ambil monyet.
Klo bisa bawa cadangan buah, semisal di ambil kacamatanya bisa barter🤭😁😀",5 bintang
Rata Cameng,"Tempat Suci agama Hindu yang terletak di ujung selatan pulau dewata ini sangat menakjubkan dengan view laut dan sunset 🌅 extraordinary.
Bagi wisatawan baik domestik maupun mancanegara pura ini patut di note di daftar …",5 bintang
Rizal Susanto,"Pertunjukan tari Kecak yg sangat bagus dg background sunset yg indah...
Cuma hati2 dg barang bawaan, khususnya kacamata, HP, dan yg lain. Krn monyetnya jail2...
Tp syarat ke Bali emang harus kesini ...
Kalo bisa sampe tempat ini sblm jam 4 sore, Krn antri ticket tari Kecak sangat rame, sayang kalo dpt show ke 2. Sunsetnya sudah lewat...
Lebih baik beli ticket OL sebelum hari H",5 bintang
Gyan Kerti,"Datang ke Pura Uluwatu saat Purnama. Berangkat dari Denpasar sekitar jam 5pm. Saya kesini lagi setelah 10 tahun silam. Ada banyak perubahan. Makin tertata, bersih, sejuk dan parkirannya semakin luas. Areal puranya menjadi satu. Jika datang ke sini, kalian hati-hati saat menggunakan aksesoris, karena disini ada banyak monyet. Paling indah tiba disini saat jam 6 pm agar dapat menikmati suasana sunset yang indah saat langit cerah. Bisa juga beli tiket disini untuk menonton penampilan tari kecak di atas yebing dengan panorama siluet sunset.",5 bintang
Hari Witara,Pura bersejarah dengan lokasi yang tepat di ujung pulau Bali bagian selatan. Dari ini bisa kita lihat bagaimana hebatnya para tokoh pembuat pura ini dalam menentukan lokasi yang presisi walau jaman waktu pembuatan itu tidak atau belum ada …,5 bintang
Hydro lancer,"Pura dengan pemandangan yg wah karena langsung curam ke pantai, ada pentas tarian dll tapi biasanya rame jadi susah dapet tempat, dan disini suka ada monyet liar jadi hati2 sama barang bawaan biasanya kacamata pengunjung jadi sasaran.",5 bintang
Bro Putu,"Pura Luhur Uluwatu adalah salah satu Pura Sad Khayangan suci Umat Hindu, disamping itu pura ini juga adalah tujuan para wisatawan yang ingin melihat matahari yang terbenam sempurna dari titik ini serta di kelilingi oleh tebing-tebing yang …",4 bintang
Arif Yulianto,"Pura suci umat Hindu yg berlokasi di Badung, pinggir Samudera Hindia.
Hati-hati dengan barang bawaan dan accessories yg dibawa, karena masih banyak kawanan monyet liar yg kadang mengambil barang saat kita lengah.
Pemandangan sangat bagus dengan view samudera Hindia.
Ada pertunjukan tari Kecak mulai pukul 18:00",5 bintang
Sudarmono Tusino,"Pura Luhur Uluwatu merupakan salah satu pura Hindu yang terletak di ujung selatan Bali, Indonesia. …",5 bintang
Andra Bagus Junian Dinata,"Tempat berlibur yg cocok bersama keluarga.
Banyak spot foto yg menarik.
Banyak monyet monyet liar, jangan mendekati monyet nya karna sering mengambil kacamata atau barang bawaan pengunjung.",5 bintang
Angki,"Kuil Uluwatu di Bali adalah destinasi wisata yang menakjubkan dengan pemandangan laut yang memukau di Bali. Harga tiket masuknya sekitar 30 ribu rupiah untuk warga domestik dengan persyaratan mengenakan sarung, terutama bagi mereka yang memakai celana pendek. Pengunjung disarankan untuk berhati-hati saat masuk karena keberadaan banyak monyet; sebaiknya tidak memakai kacamata atau menggenggam ponsel karena monyet bisa mengambil barang dengan cepat meskipun ada pawang yang bertugas. Meski begitu, pemandangan yang diperoleh dari kuil ini begitu indah dan memuaskan dan saya pikir kita semua setuju ketika berwisata sangatlah memuaskan jika kita lebih menikmati pemandangannya ketimbang banyak mengambil gambar menggunakan handphone.

Pemandangan dari kuil ini luar biasa, terutama saat matahari terbenam. Kuil ini tetap menjadi destinasi yang direkomendasikan untuk dikunjungi di Bali karena keindahan alamnya. Sebelum berkunjung, disarankan pengunjung mempersiapkan diri dengan baik, memperhatikan keberadaan monyet, dan menikmati keindahan alam yang spektakuler di sana.",5 bintang
Duane Raharja,"Sejauh ini, di sini tempat untuk nonton kecak yang paling WOW KEREN (menurut saya).

Tiket kecak on the spot Rp 150.000 (dewasa), Rp 75.000 (anak). Kalau beli via Traveloka bisa lebih murah (selisih sekitar Rp 10.000).

Tiket kecak belum termasuk ketika kita beli tiket masuk pura Uluwatu.",5 bintang
Desy Eri,"Pemandangannya indah, berada di atas tebing, bisa melihat sunset di sini, terdiri 2 jadwal tarian saat sore, tari kecaknya bagus dan menghibur, pelayanan ramah, dikasih kain untuk diikat di badan dan jas hujan, harga standar. Cuman masih banyak monyet dan anjing berkeliaran. Ke sini saat akhir covid jadi agak sepi pengunjung, lebih banyak wisatawan lokal.",5 bintang
yumi sobah,"Parkir nya luas
Akses menuju kesini jalannya juga bagus
Banyak toko oleh-oleh di dekat tempat parkir,
Tersedia toilet juga

Ini tempat suci jadi harus mengikuti peraturan pengelola wisata.

Pemandangan bagus.
Ada pertunjukan tari juga.
Hanya saja ada di jam-jam tertentu.

HTM nya standar seperti tempat wisata lain.",5 bintang
Ronny Tri,"Tempat paling worth it buat melihat sunset di Bali, pemandangan laut yang bagus tapi monyet tidak ramah. Pengunjung agar lebih berhati hati dengan warga lokal satu ini yang kerap mencuri barang.",5 bintang
devy marisca,"Antrian pembelian tiket masuk cukup cepat. Lokal 30k dewasa, 20 k anak2.
Antrian tiket tari kecak sangat panjang.

Loket baru buka jam 16.30 wit. Gate baru buka jam 17 wit. Tiket dewasa 150k. Anak anak sampe 10 thn 75k. Pertunjukan sangat bagus dan menghibur.
Tempat duduk mesti cepat ambil supaya dapat spot yang bagus. Tapi buat pejabat  seperti anggota DPR dan keluarga ada jalan khusus buat reservasi.

Monyet banyak berkeliaran dan agresif. Disarakan ati2 bawa makanan minuman kacamata atau hp
Toilet bersih.",4 bintang
Aju Y,"HTM 30K dewasa domestik, wajib pakai sarung yang bercelana pendek...hati hati jalan masuk banyak monyet baiknya jangan pakai kacamata dan pegang hp karena secara tiba2 mereka bisa ambil barang tersebut secara kilat walaupun di sana banyak pawangnya, pemandangannya sangat indah... lelahku terbayar",5 bintang
Sukaisih S,"Tempat nya sangat bagus di Uluwatu, sampe gamau pulang kalo main ke Bali terutama baru yg pertama kali traveling rekomended si.
Yang penting bawa persiapan tentunya dan yg pasti budget nya 😁",5 bintang
Sylvia Agustin Intansari,Best sunset point view apalagi ditambah dengan show tari kecak nya. Incredible. Hati hati barang bawaan krn banyak monkey di sepanjang jalan menuju pura,5 bintang
Rhere Retno,"Untuk yg lagi di Bali pastinya ada yg kurang kalau blm lihat tari kecak ini..
Dr legian ± 2 jam perjalanan menuju pura uluwatu ini..  Jd harus di prepare untuk rute destinasi liburan..  Supaya ga habis dijalan waktunya..
Untuk tiket bisa on the spot ya.. Kalau aku waktu itu beli online..
Tapi meminimalisir kerugian kalau ga bisa hadir krn ada keperluan lain soalnya ga hisa refund,,
Jd mending on the spot,,  untuk first show yg jam 6 pendaftaran akan dibuka jam 16.30 wita ..
Kalau yg pake tour guide biasanya beliau2 yg antriin untuk kita.. Jd kita cuman nunggu duduk dipinggir2 nya..
Tapi hati2 untuk barang bawaan khususnya kacamata karena disini banyak bgt monyet ,dan yg jd sasaran nya yg pakai kacamata 😅
Jd hati2 yaaa ..
Untuk tiket pertunjukan harganya 150 rb/orang , dan tiket masuk pura uluwatu nya 30 rb per orang.
Yg ga kebagian first show .. Bisa antri lg untuk yg second show jam 19.00 wita ..
Let's go liburaaann..",5 bintang
nurrohmah abduljamil,"Sendratari Tari kecak,wort it sih dengan penampilan sekitar 45menit,tanpa iringan musik apapun kecuali Dari para pemainnya sendiri,tetap melestarikan adat Dan budaya dengan epik itu bukan sesuatu yang mudah,great performance!!",4 bintang
Syarifah Annisa Putri,"bagus sekaliii, pemandangannya juaraaa, ada pertunjukan kecak dengan tiket tambahan, sangat mengaggumkan wajib ditonton. saran datangnya jam 4 sudah disana

dan saran beli tiket kecaknya jauh hari lewat traveloka biar gaperlu antri di tempat",5 bintang
Leonard “Louis Leon” Boentaran,"Tempat yang sangat bagus untuk wisata, foto, wajib lah kalau ke bali. Recomended tempat wisata.",5 bintang
setia alqudsy,"Maaf saya ngasih bintang satu, karena ulah monyet .... Kacamata saya di rusak sama monyet, saya minus, kalau tidak pakai kacamata sulit melihat, tolong pengelola Pura Luhur Uluwatu, memperbaiki dan memperhatikan kenyamanan pengunjung. Dan tolong juga para monyet di latih tidak membiasakan merampas barang milik pengunjung, jangan di biasakan barter... Kalau di biasakan, kalau tidak di beri makan akan merusak barang milik pengunjung, pdhl kacamata itu penting banget... Kalau sampai rusak... Gmn bs menikmati acara di pura luhur uluwatu... Pdhl sebenarnya bs di atasi loh, saya lihat review sudah banyak mengkritik tentang kenakalan2 monyet2 ini...",1 bintang
Rudy Santoso,Tenpat wisata dengan pura luhur Uluwatu sangat fantastik view dengan tebing dengan view laut lepas,5 bintang
Ferny Prayitno,"Waktu kesana saya pagi-pagi, sehingga udara sejuk dan sepi, jadi peluang foto bagus enak dateng pagi. Tapi kalo mau liat tari kecak dan sunset enak dateng sore",5 bintang
A Adhitya Hasan,"Ke Pura Uluwatu pada sore hari, pukul 16.00 WITA, karena ingin menyaksikan tari kecak dan tari api, sudah beli tiketnya via aplikasi online traveloka. Karena jika tidak, antriannya pasti panjang. Tiket masuk pura Rp. 30.000,- satu orang, tiket parkir Rp. 3.000,- untuk mobil. Hati - hati terhadap barang bawaan anda, karena monyetnya sedikit jahil, apalagi barang berupa makanan ringan, minuman, hp, dll.",4 bintang
Eko Jayanti,"Kalo ke Bali rasanya kurang afdol kalau tidak ke Pura Luhur Uluwatu 😁 walau bukan hari libur kesini tp pengunjung juga banyak sekali mulai dr turis luar maupun lokal. Utk berfoto pun jg agak menghela nafas hehehe dan cepet2an krena takut disamperin “penunggu” a.k.a monyet2 disana.. karena monyet yg berkeliaran di sekitar tmpt wisata jadi di titik2 tertentu tercium aroma yg mengganggu yaitu aroma pesing pipis nya monyet 🫠🥴

Dan buat yg blm pernah kesini atau baru mau pertama kali kesini, saran nya baiknya tidak usah gunakan kacamata, topi, handphone and anything else yg mengundang ketertarikan si monyet utk mengambilnya. Harus lebih waspada dgn pergerakan monyet nya ya guys 🫣",5 bintang
Wahyu Hagono,Salah satu cagar budaya dan tempat upacara agama umat Hindu di Bali. Ramai dikunjungi wisatawan selain untuk melihat pura nya juga menikmati sunset dan pertunjukan tari kecak nya,4 bintang
Novi Kurnianto,Cocok untuk mendapatkan view sunset yang bagus. Disepanjang jalan menuju pura juga bagus untuk mengabadikan momen karena mataharinya terkesan sangag besar dan dekat. Oiya hati-hati banyak kera,5 bintang
Susanti Delina Siki,"Kesini pas tgl 25 Des 2023. Tujuannya mau nonton Tari Kecak. Tiket masuk 30 ribu @orang diluar dari Tiket tari Kecak. Kalau Tiket Tari Kecaknya Sendiri sya pesan dari @kecakdancebali dengan harga 150 ribu @orang. Kalau mau foto2 hati2 ya sama Si Monkey🤶
Kalau pas Libur nasional pesalah tiket Tari Kecak jauh2 hari ya dan datangnya 1 - 2 jam lebih awal ya guys2 untuk menghindari antrian👍",5 bintang
Remy Syahdeini,"Tempat ibadah yang samgat tenang, salut kepada para pendiri dan pembuat tempat indah ini. Waspada kera liar untuk para wisatawan yang sedang mengambil dokumentasi liburan.",5 bintang
fsangraeni,"Bali dengan segala keindahan alamnya, ga perlu diragukan lagi ya.., bintang 5 untuk lokasi, keindahan alam, pengelola, kebersihan lokasi, fasilitas dll.
Yang bikin nilainya minus banyak di penilaian saya pribadi, monyet liar yang berada disekitaran lokasi, bener2 mengganggu!!!
Dari awal perjalanan menuju Uluwatu, driver (warga asli Bali) udah wanti2 kami, ""nanti disana, hati2 sama barang bawaan, monyetnya suka ngambil""
Sampe di lokasi, dari awal tempat pembelian tiket diwanti2 lagi sama orang2 disana, ""kacamata disimpan, hati2 HP""
Krn udh terlalu banyak yg wanti2, lepas dong kacamata (kebayang ga, mata minus, disuruh ga berkacamata😭😭😭), trus HP disuruh simpan, dan ngeliat di depan mata, pengunjung yg HP-nya diambil si monyet.. (walo akhirnya datang pawangnya buat bantu ngembaliin HP dari si monyet, tp harus barter dulu dgn makanan). Ga asyik banget kan, ke lokasi wisata, tapi ga bebas foto2 krn takut HP-nya diambil monyet.
Pas diatas, udh nyelamatin kacamata dan HP, eh malah topi suami yg diambil monyet. Udh hopeless bakalan dibalikin, tp ternyata ada pawang yg ngeliat, dan bantuin ngambilin lagi topi itu dgn cara nembakin pake ketapel biar monyetnya ngelepas topi itu. Kirain selesai, ternyata si pawang ngebisikin suami, ""20ribu aja pak"" 🤣
Lucu aja sih, 1 topi 20ribu, kebayang berapa yammng diminta kalo HP yg diambil 😁",3 bintang
dimas,"pura uluwatu sangat luas, di sore hari ada pertunjukan tari kecak yg sangat terkenal. konon paling bagus di Bali ya yang ada di uluwatu ini..
pura dengan view yg sangat bagus karena berada di tepi tebing dan pantai dibawahnya.
o ya,banyak sekali monkey ya di pura ini, hati2 jangan sampe hp atau barang kalian diambil si monkey ini heheehe..",5 bintang
Kunna,"Pemandangan bagus, sayang byk monyet yg usil y minta ampun bikin was2 ngeluarin hp buat foto aja, teman kacamata y samapai di gigit, ys mesti hati2 kalau d sini",5 bintang
G S,"Hati-hati saat bertemu monyet.
Karena monyet disini cukup ganas.
Kaca mata saya sempat diambil monyet.
Untungnya suami saya bergegas menolong.",3 bintang
ivone berghie,Tempat terbaik untuk menonton tari kecak. Depannya terhampar laut luas yang sangat indah. Biaya 150.000 per orang dan anak-anak 75.000 per anak,5 bintang
Lonewolf愛,"Pura Uluwatu merupakan destinasi budaya yang memukau di Bali.
Lokasinya yang menghadap ke laut, membuat pura ini menawarkan pemandangan matahari terbenam dan hamparan laut yang spektakuler. Arsitektur khas Hindu Bali yang rumit dan patung-patung batu kuno menciptakan atmosfer mistis yang memperkaya pengalaman spiritual. Pagelaran tari Kecak setiap malamnya memberikan sentuhan budaya yang menarik, diperkuat oleh latar belakang langit senja.
Saran saya pengunjung harus berhati-hati dengan monyet yang berkeliaran di sekitar pura karena mereka bisa merebut barang atau aksesoris yang kita pakai.
Upaya konservasi yang dilakukan menunjukkan komitmen untuk menjaga keberlanjutan warisan budaya ini.",5 bintang
Riski Primadona Aji,"Sesuai namanya Pura Luhur benar berada ditempat yg tinggi dipinggir tebing
Pura ini sangat indah dan ikonik, Saat sunset tidak jauh sari Pura terdapat Pertunjukan Tari Kecak dan Tari Api",5 bintang
