comment,label_prediksi
"disini kita bisa menikmati pemandangan persawahan yang indah & asri. ada juga ayunan atau swing yang membuat kita dapat menikmati pemandangan yang indah dan memukau dari ketinggian, dan juga flying fox yang bisa dinikmati, namun dengan berbayar. staff nya cukup ramah namun kurang arahan dan juga kurang petunjuk arah, sehingga saat sedang menelusuri sawah ada tempat yang tidak boleh dimasuki karena lahan orang lain. untuk fasilitas yang ada cukup lengkap, mulai dari toilet, area parkir, restoran & cafe, toko belanja, dll.",Positif
"wow amazing,  sangat indah pemandangan salahnya dan menakjubkan luar biasa, dengan perjalanan yang jauh",Positif
"🔆 salah satu tempat yang patut dikunjungi ketika berkunjung di ubud.berlokasi di sebelah utara ubud dengan waktu tempuh 15 menit dengan kendaraan bermotor🔆 hal yang menarik di lokasi ini :1. harga tiket masuk untuk explore area persawahan ini dengan berjalan kaki sebesar rp 15.000. atau kalian bisa menikmati hanya dengan bersantai di cafe atau resto, dengan memesan makanan atau minuman tanpa biaya minimum.2. banyak spot instagramable disini, dan ada wahana swing.3. banyak cafe atau restorant yang menjual makanan dan minuman. dengan harga berkisar rp 40ribuan.4. view dari resto kebanyakan menghadap ke arah timur dengan view persawahan yang berteras-teras.🔆 tips yang mau berkunjung ke pantai ini :1. jika ingin berkunjung ke resto, lebih baik datang sekitar sore hari, agar cahaya matahari tidak menyilaukan mata.2. jika ingin merasakan ambience dan suasana persawahannya yang asri, alangkah baikannya datang di pagi hari. karena belum banyak turis yang datang.3. biaya parkir motor free, jadi saran bawa kunci ganda agar tidak terjadi hal yang tidak diinginkan4. alangkah baiknya ke sini menggunakan motor, karena area parkir mobil terbatas. (jika kalian stay di ubud)5. harga untuk menikmati wahana swing sebesar rp 100ribu (dari harga awal rp 250ribu). jadi kalian harus pintar nawar ya.🔆 nama lokasi nya adalahtegalalang ricefield🔆 semoga bermanfaat ya.oh iya, kapan kamu kesini ?#traveller #backpacker #bali #sawah #ricefield #indonesia #trip #travel #ubud #tegalalang",Positif
"tempat yg lumayan bagus untuk jalan jalan sekedar untuk menikmati persawahan dengan teraseringnya, banyak warung warung kecil juga",Positif
"sebenarnya biasa aja, hanya ada sawah dengan bentuk terasering yang gak luas juga areanya. tapi disini ada warung nya untuk sekedar melepas lelah. di sini naek ayunan raksasa yg di dorong jauh melambung ke atas...wuzzzzz!!!!",Positif
"nampak hamoaran sawah hijau tang tertata rapi dan istagramable. hanya sayang tempat parkirnya yang terbatas. bagi uang suka bermain ayunan, tersedia ayunan yang woow..",Positif
"sejuk tempatnya, tapi untuk restaurant di pinggir sawahnya seperti kurang estetik, kurang tertata rapi. parkiran di badan jalan. harusnya ada tempat parkir khusus pariwisata.",Positif
tamu saya sangat senang datang kemari terlebih dengan banyaknya wahana yang bisa didapatkan disana dan restoran yang menyajikan makanan yang enak enak,Positif
melihat alam persawahan atau rice terrace disini sangat indah dan menyejukkan mata dengan hamparan hijau disana,Positif
"wow pemandangannya sangat bagus, masih alami dan asri, nuansa pedesaan masih kental, penataan sawah yang bagus,,, jalan jalan ke ubud,, harus mampir dan nikmati pemandangan ini",Positif
jika melewati ubud kurang lengkap tidak mampir ke tegalang. hamparan sawah nya sangat cantik dan hijau. kita bisa juga turun ke bawah untuk foto2. disana banyak spot2 foto yg dikenakan biaya10-20rupiah.,Positif
beautiful terrasering that i've seen. sejauh mata memandang hijau semua. disini juga tersedia swing dan dikasih dress melambai warna merah.,Positif
tempat ini berlokasi di ubud.  sekitar satu setengah jam dari kota denpasar. pemandangamnya sangat indah.  destinasi wisata terbaik yg kukunjungi di bali.  sawah terasering yg dikelola secara pribadi da dikembangkan oleh masyarakat lokal. wisata disini terbilang murah.  hanya 10ribu rupiah untuk biaya masuknya.  namun kita juga diwajibkan membayar donasi kepada pemilik sawah yg nominal nya terserah anda. disini juga ada spot cantik untuk berfoto tapi kita harus bayar antara kisaran 20 ribuan.  juga asa wahana swing yg sangat bagua untuk di poto.,Positif
"rice terrace yang berlokasi di ubud utara di desa ceking dengan jarak tempuh kurang lebih 25 menit dari pusat ubud dengan memliki keindahan petak sawah yang unik dan alam suasana yg segar karena terdapat pohon kelapa juga. disamping itu pula, mereka menyediakan sewa ayunan bagi para pengunjung yang akan datang kesana.",Positif
"tegalalang merupakan terasering terbaik di bali. sawahnya berundak-undak, dengan petak-petak yang bertingkat rapi. terlihat seperti tangga dengan tanaman padi yang menghijau. dikelilingi oleh banyaknya pohon nyiur seolah membingkai kawasan tegalalang dengan tampilan yang lebih cantik, alami dan menawan. sangat luar biasa indah.",Positif
pertama kali ke ubud yang paling pertama saya lakukan pergi ke tempat ini yang membuat saya penasaran,Positif
tempat wisata sawah tera sering yang indah dan bagus yang wajib di kunjungi para wisatawan yang datang liburan di bali,Positif
"saya sudah beberapa kali ke tempat ini dengan touris ; pemandangan yang bagus dan menarik untuk dikumjungi pada pagi hari , karena tidak terlalu panas dan kita bisa melihat sunrice dari tempat ini, saya merekomendasikan tempat ini untuk dikunjungi",Positif
"susana pedesaan yang sejuk dengan pemandangan bentang alam yang indah. disekitar lokasi banyak cafe, sembari menikmati kopi dan makan siang kita bisa menikmati pemandangan teras sawah khas tegal alang dari sini. suasana tegal alang yang tenang dan sejuk cocok digunakan sebagai alternatif liburan keluarga selama di bali.",Positif
"di bali kalau bosan dengan keramaian cocok banget dengan suasana tegalalang ubud bali, disana suasana pedesaan terasa dan cukup sejuk saat hujan dan jauh dari keramaian, jadi kalau kesini cocok banget buat stay di vila luxurious dan hotel berbintang buat santai2 dan jalan2 ke sawah menikmati alam . serta foto2 dong",Positif
