comment,label_prediksi
pantai sanur...pantai sunrise di bali. sangat indaaaah..cantik.destinasi wajib ke bali. dari penginapan kemarin kami berangkat jam 5 pagi. jangan lupa malam sebelum nya kita melihat di internet untuk jam terbit hari ini,Positif
"tempat yang indah untuk jalan pagi. dari renon hanya 16 menit berkendara. jalanan lancar karena sedang libur galungan. cocok bawa anak-anak untuk jalan pagi atau main pasir di pinggir pantai.tempat parkir luas, tempat jual makanan banyak.",Positif
"tidak pernah terbayangkan , setelah dapat julukan dewa arak di batam (arak tpi)  ingin rasanya mendapatkan julukan dewa arak bali setelah menyelesaikan arak flores.akhirnya tergenapi cita-cita dengan sempurna.",Positif
"salah satu pantai yang menarik,sangat cocok mengajak anak-anak bermain karena ombaknya aman dan bisa mandi dipinggiran pantai dengan tenang",Positif
buat yang mw berlibur bersama keluarga sangt cocok krn disini udaranya sangat sejuk dan juga bisa menikmati indahnya sunrise dipagi hari,Positif
"pantai cantik pasir putih, bisa liat sunrise yang cantik juga disni, ombaknya tenang, udara seger, cocok untuk healing healing gitu",Positif
datang ksana jam 5.30 pagi uadata segar tenang sambil menunggu matahari terbit bagus untuk meditasi krna g trlalu rame,Positif
"ternyata daerah sanur lebih sepi dari daerah2 lainnya...tapi enak juga. bisa jogging menikmati pantai kayak punya pribadi, hahaha.",Positif
"sanur beach adalah pante yang sangat indah dan pantai yang tak pernah sepi pengunjungnnya ,karna pantainya sangat bagus 😍",Positif
"setiap hari minggu selalu kesinipantainya bagus, bersih dan udaranya sangat sejukbagus untuk refreshing",Positif
setiap weekend selalu mantai bersama kluarga tempatnya nyaman dan bersih  apagi di pagi hari liat sunrise,Positif
"pantai sanur yg dekat dr rumahpantai nya nyaman,bersihbagus untuk anak2 main pasir banyak stand makanan jugadekat hotel balibeach",Positif
suka pergi bersama keluarga di pagi hari. tempat parkirnya luas. hari sabtu dan  minggu biasanya ramai.   lebih bail pergi saat week day sehingga tidal begitu ramai.,Positif
saya datang ke pantai sanur karena akan melakukan perjalanan ke nusa penida melalui jalur pantai sanur. akses sangat mudah ditempuh dan pantai yang ramai dengan para pedagang dan juga pengunjung.,Positif
pantai segala umat bagi orang denpasar. pantai yang indah dan tempat berkumpulnya banyak keluarga untuk menghabiskan waktu bersama,Positif
"pantai yang bagus untuk menikmati sunrise. ombaknya cukup tenang, sehingga cocok untuk anak-anak. pemandangan nya bagus.",Positif
"mau liburan tapi modal pas pasan ya di pantai sanur tempatnya, dengan modal cuman 50rb cukup lah untuk parkir,beli kopi dan lumpia 😁, wisatawan mancanegara sangat sepi, jadi toko toko souvenir banyak tutup.cepat pulih pariwisata dan ekonomi bali, agar kembali ramai seperti dulu",Positif
"dengan pemandangan yang melegakan, dan ombak yang tenang pantai ini cocok dikunjungi oleh siapapun. berendam di pantainya sambil merasakan kehangatan sinar matahari akan menambah kenyamanan rileksasi di bali. kecantikan sunset juga tampak sangat memukau menghiasi senja di pantai sanur..",Positif
"pantai yang layak untuk di kunjungi b erbagai lapisan masyarakat,terutama yang mau berjemur ,main selancar.dan pokoknya keren disana.",Positif
"pantai berpasir putihselain menawarkan indahnya sunrise dipagi hari, kita juga bisa sewa sepeda dan menyusuri jalan setapak dan melewati banyak hotel.ombak pantai sanur cenderung tenang, jadi sangat cocok bagi mereka yang berlibur dengan membawa anak yang usianya masih belia.",Positif
salah satu pantai dibali yang letaknya tidak jauh dari kota denpasar-bali.dipantai sanur kita bisa berenang dan juga berjemur.,Positif
"pantai yang sangat padat pengunjung, kalau kesini paling sering bersepada dengan teman - teman,,  recomend deh yang suka liburan ke pantai",Positif
saya suka pergi ke tempat ini terutama saat senja.  tidak ada sunset.  banyak cafe di pinggir pantai sehabis berenang tinggal pilih mau makan dimana.  saya suka pantai yang di dekat hotel hyatt .,Positif
sanur...nama tempat ini gak akan bisa ilang dalm ingatan saya.dari remaja sampai saat ini saya selalu membawa keluaga untuk berlibur ke sanur.dari sudut ke sudut panatai gak akan membuat kita bosan suasana yg hangat membuat kita betah untuk melihat air yg di tiup angin di sore hari.para pedagang lokal yg menjakan makanan menambah suana mkin seru mencicip kulener khas sanur dn sekitarnya,Positif
"pantai ini cocok untuk lihat matahari terbit (sunrise) namun sekarang banyak rumah-rumah yang menjadi agen biro travel wisata ke nusa penida,nusa lembongan dan destinasi lombok (gili air,gili trawangan)",Positif
"sepi ,tenang enak buat jalan jalanbanyak tempat  makan enak enak ,kalau mau cari boat juga banyak pilihan",Positif
tempatnya keren sejuk bngt cucuanya pagi ini airnya dingin. disana juga bisa liat sunsire yg indah ada kuliner khas balinya jugaa ada dagang khas bali kayak baju barong dll.,Positif
"baru pertama kali saya datang di pantai ini,memang benar apa kata orang orang tentang pantai ini.pantai yang sangat indah,cocok untu tempat melepas penat , bersantai bersama dengan orang terkasih.",Positif
"jalan-jalan menyusuri pantai sanur sungguh menyenangkan, pantainya bersih dan indah. banyak tempat makan dan minum dengan harga terjangkau di sekitar pantai. orang di lingkungan ramah dan bersahabat. sangat senang menikmati pantai sanur",Positif
"yang cari spot buat liat sunrise,pantai sanur pilihan tepat,patokan nya dunkin donut yang ada di perempatan hangtuah.cukup bayar parkir motor 2000 bisa liat sunrise yg indah",Positif
bagus sih pantainya. selalu ada pembaruan tapi yg gk kuat itu terlalu rame dan kadang kyk bau amis gt,Positif
"pantai yang indah, saya ke pantai ini pagi-pagi sekitar pukul 7 dengan suasana yang masih sangat segar dan matahari yang belum begitu panas terik membuat kita dapat dengan santai berolahraga",Positif
"tempat yg paling tepat menyaksikan sunrise, apalagi jika menginap di grand inna hotel sanur di areal kamar lantai teratas (lantai 9). jika subuh banyak pencari ikan yg menggunakan senter.banyak terdapat rumput laut dlm skala kecil.",Positif
di samping memiliki pantai yang sangat ramah lingkungan dengan pasir yang berwarna putih dan terlihat pemandangan pulau kecil nusa penida dan lembongan dari pelabuhan sanur yang melayani pengunjung yang akan berlibur ke pulau kecil tersebut.,Positif
pemandangan matahari terbit yang indah hanya anda bisa nikmati disini....pantai sanur dengan ombaknya yang kecil menambah indah suasana disini....sangat cocok buat keluarga atau yang lagi berbulan madu,Positif
kalau ke pantai sanur sih saya sarankan saat pagi hari karena selain sepi tempat ini juga cocok untuk melihat sunrise dan olahraga pagi. kalau sore hari ruame apalagi saat musim liburan,Positif
"berkunjung ke pantai sanur untuk kedua kalinya, masih seperti beberapa tahun yang lalu, sedikit berubah dengan adanya gasebo di sekitar pantai",Positif
"pantai yang menyenangkan.. bersih, teduh, banyak orang mancan negara kesini, cocok untuk liburan, banyak penjual di pinggiran",Positif
lari pagi di hari sabtu sangat cerah....diusahakan untuk lari pagi sebelum jam 6 agar benar-benar bisa bebas lari....nyaman lari lebih banyak....lari pagi sambil menunggu matahari terbit.... pemandangan sangaaaaattt luar biasa indah.....,Positif
"pantainya ga terlalu besar.  panas sekali di siang hari. sepanjang pantai banyak pedagang kelapa,  jagung bakar dan minuman.  ada juga lorong penjual suvenir. paling cocok buat liat sunrise.",Positif
"pantai yang cocok buat menikmati matahari terbit.pantai nyaman,tempat parkir luas,toiletnya sangat bersih walau harus bayar 5000 rupiah",Positif
saya mendapat tiket yang murah dan perjalanan yang menyenangkan dengan driver yang ramah dan friendly,Positif
"banyak yang berkunjung ke pantai sanur untuk melihat matahari terbit, joging dan untuk penyebrangan ke pulau nusa penida dan nusa lembongan, suasana pantai asik terdapat penyewaan perahu dan banyak terdapat warung makanan.",Positif
sanur adalah tempat wisata yang di kelilingi dengan pantai. memiliki tempat yang sangat strategis dan terjangkau dari mana saja. dan sanur memiliki tempat pemberangkat untuk mengunjungi pulau nusa penida dan lembongan. sanur juga sangat bagus bagusnuntuk melihat matahari terbit.,Positif
"berjalan kaki ke pantai dari hotel ,kebetulan cukup dekat dengan penginapan kami, cukup puas setelah melihat pemandangan pagi hari , sunrise ,",Positif
"pantai sanur merupakan salah satu pantai yang terkenal di bali selain pantai kuta. dari pantai ini kita bisa menyeberang ke pulau nusa penida dengan kapal boat. tarif yang saya ketahui dari informasi papan tarif rp. 400 ribu untuk pergi-pulang. sepanjang pantai banyak ditemui gerai-gerai toko yang menawarkan oleh-oleh khas bali. ada kaos, kerajinan tangan dll. ada juga deretan rumah makan yang menjual kopi dan aneka seafood. dipantai ada terlihat orang-orang yang mandi-mandi di pantai untuk tetapi kesehatan. dengan berendam di pantai, ada juga yang menguburkan kaki atau srbagian tubuhnya di pasir.",Positif
"pantai sanur layak dijadikan salah satu destinasi wisata pantai yang tedapat di pulau bali.kita dapat melakukan banyak hal disana, selain menawarkan indahnya sunrise dipagi hari, kita juga ddapat melakukan beberapa olahrga air yang terdapat dilokasi pantai.ombak pantai sanur cenderung tenang, jadi sangat cocok bagi mereka yang berlibur dengan membawa anak yang usianya masih belia.",Positif
"pantai adalah batas antara laut dan daratan. salah satu pantai yang patut dikunjungi adalah pantai sanur yang terletak di denpasar, bali, pantai ini sangat indah apabila menjelang malam hari, yaitu saat matahari tenggelam (sunset). banyak sekali wisatawan yang datang ketika matahari bergerak ke barat.",Positif
"pantai yang berpasir putih,kita bisa sewa sepeda dan menyusuri jalan setapak dan melewati banyak hotels sepanjang pantai sanur. pasti bakal ketagihan dech👍👍 .dan klu sdh capek, kita di manjakan dengan banyak rest ataupun tempat makan dari harga termurah sampai mahal.dan banyak ada fastboat yang menyebrangkan tamu ke nusa penida.pasti menyenangkan😍😍",Positif
suasana pantai sangat ramai dengan orang-orang dan turis yang akan menyeberang ke nusa lembongan maupun nusa penida.tidak cocok untuk berenang di pantai.,Positif
tempatnya sangat indah dan nyaman untuk mendapatkan ketenangan di pantai ini dan juga kita bisa mencari inspirasi yg bagus karena tenang,Positif
"pantai disini masih sangat bersih dan terawat, keindahan laut dan pasirnya sangat menakjubkan. dsni kalau malam banyak cafe2 dengan live musik. untuk harga masuknya cukup membayar uang parkir kendaraan.. sangat murah bukan",Netral
pantai sanur  yang  indah dan bersih.kita bisa mengunjungi bersama keluarga atau rekan kerja sambil menikmati jagung bakar dan mandi,Positif
"jalan jalan pagi,sambil melihat sunrise sambil di temani angin laut dan juga deburan ombak,membuat hatiku nyaman",Positif
mantap dan tempat yg sangat indah dan tidak mudah dilupakan  tempat yg pasirnya indah dan sangat toop,Positif
"laut yang biru, ombak bergulung, angin berhembus kencang? banyak fast boat bersandar bebas lepas, itulah pantai sanur dan dari sinilah para wisatawan akan berlayar ke sebuah pulau yang namanya pulau penida, ceningan, dan pulau lembongan...ayo berangjatlah segera menuju pulau impian....cheerrss",Positif
"lokasinya yang tak begitu jauh dari kota denpasar, sangat disayangkan jika tidak mampir bila berkunjung ke bali. melihat sunset disini sungguh memanjakan mata.",Positif
saya kesana bersama anak2 kecil.. untuk bermain dipantai tidak nyaman.. karna banyak speedboat berlabuh. lebih enak di nusa dua atau kuta,Positif
dua kali berkunjung ke pantai snur ga bosan2..tdk rame dgn org2 jd lebih enjoy main kepantai ga penuh org2,Positif
sangat menikmati pantai sanur dengan pasir yg putih dan bebatuan yg dapat di jadikan tempat fotografi. karena letak pantai sanur tidak jauh dari hotel cukup jalan kaki 10-15 menit dengan santai sudah sampai ke pantai sanu. sunggu momen matahari hari terbit yg tidak dapat di lupakaaannnnnn......,Positif
"tempat yg nyaman untuk melepas rasa penat. pantai lumayan bersih,  lebih asyk apabila datang beramai ramai",Positif
"pantai sanur, masi terbilang bersih dan pemandangan yg indah. masi banyak turis lokal dan asing yg berkunjung kesini.",Positif
