comment,label_prediksi
saya berkunjung dengan membawa wisatawan pada saat hari senja tiba para wisatawan merasa sangat senang dengan keindahan wisata pura tanah lot,Positif
pengalaman yang cukup berkesan bisa berkunjung ke sini menikmati keindahan alam yang indah dan beragam bersama teman cukup memanjakan mata bersantai menikmati indahnya sunset to good,Positif
sangat indah dan menjadi daya tarik wisata yang luar biasa kesan yang sangat mendalam di tanah lot sangat banyak pura disanasemanya tempat persembayangan agung warga sekitar  karena dipinggir pantai jadi panas yaaajangan lupa reaplay sunscreen membawa kacamata dan topiselamat berliburr,Positif
satu tempat terbaik lagi utk nonton sunset kalo gk ujan ya dgn bayang2 pura batu bolong langit warna orange duh susah diungkapin kata kata kecuali liat langsung deh kesini,Positif
untuk tukang foto keliling di area pura tanah lot sangat mengganggu sekaliuntuk para pedagang sovenir atau pakaian agak terlalu memaksa kepada pengunjung ketika pengunjung hanya melihatmelihat saja,Positif
pertama kali datang ketempt ini hanya untuk sembhyangnamun setelah tau betapa indah nya tempt ini maka saya dan kelurga memutuskan untuk menghabiskan akhir pekna kami di tempat ini very nice place,Positif
pura yg ada di tebing di pinggiran pantaikalau laut surut kita bisa tuh naik2 sampai sana  tp kalau laut pasang kita hanya bisa melihat dari kejauhandi salah satu goa ada ular suci yang diyakini penduduk lokal sebagai ular penjaga di tanah lot bisa buat foto2 tapi enggak dehhhtakuutt 🤣,Positif
salah satu kembangga tersendiri jika kita bisa ke pura tanah lot  dan dapat melihat  pendangan dan kita bisa juga melihat ular yang besar,Positif
berkunjung ke tanahlotpantainya bagus pemandangan sunset yg epicpuranya di tengah pantaiindahwisata religius🙏,Positif
tenpat the best sekali utk liat sunset kalo lagi gk ujan sih bisa piknik2 santau di rerunputan dgnn view laut n pura diatas tebingnya,Positif
d tanah lott pemandangnnya sngtt bngusstaman bemain untuk anak sngattt luassspkoknya amazing💝💝🥰🥰😍😍😍❤️🙏🙏🙏,Positif
menikmati sun set di temani pemandangan yg luar biasa tempat berlibur favorite kalau ke bali recommended baget,Positif
sembahyang bersama keluarga meskipun dibatasi karena covid 19 antusias para masyarakat untuk bersembahyang sangatlah ramai banyak jg wisatawan domestik dan wisatawan asing yg datang untuk berkunjung walaupun masih masa pandemi ada beberapa artshop artshop yg sdh buka ya semoga pariwisata bali ini cepat pulih agar tamu asing maupun domestik makin banyak lg bs berlibur ke bali lg🙏,Positif
ke sini mau tunjukin ke mami klo dibali banyak tempat menarik yang bisa diexplore salah satu pura cantik ini yang berada ditengah laut menariknya tempat ini kita bisa bersantai dibukit dekat pantai tanpa terkena teriknya mentari padahal ke bali buat hitamkan kulit tapi mami takut sm panas well menyenangkan tempat ini,Positif
sengaja banget kesini dari tempat nginap deket bandara jam 4 menggunakan motor meskipun harus beberapa kali tersendat macetnya jalan cuaca cerah sunset bagus banget,Positif
