comment,label_prediksi
patung terbesar di bali areanya luas sekali sering digunakan untuk event wedding atau konser kebunnya rapi sekali dan banyak tong sampah disetiap sudutnya,Positif
gwk merupakan tempat wisata yang banyak di minati para wisatawan karena memiliki nilai sejarah  gwk juga memiliki view yang sangat bagus untuk sport foto maupun untuk buat foto praweding,Positif
pemandangan yang cukup menarik patung yang begitu megah garuda wisnu kencana ini destinasi yang ada di bali diminati oleh banyak wisatawan mancanegara negara tempat ini begitu nyaman kumpul bersama keluarga teman sahabat ataupun pacar spot foto yang begitu menakjubkan tidak akan ada kata penyesalan jika dateng kesini,Positif
sangat luar biasa bisa berkunjung kesini patung dan suasananya sangat menakjubkan  kami sekeluarga sangat menikmati dan senang bisa berkunjung ke tampat ini,Positif
gwk sangat menakjubkan selain indah jg memiliki prestasi patung trtinggialamx sangat indah menyejukkan dan menyenangkan elok banget,Positif
patungnya besar sekali untuk naik keatas harus naik shutle dan bayar 30 rb naik ke atas patung jg bayar 50 rb per org,Negatif
hanya sekedar jalan jalan saja ketempat ini sebetulnya tidak terlalu menarik bagi saya karena beberpa tahun yang lalu pernah ke tempat ini tapi kali ini banyak atraksi dan daya tarik yang bisa kita nikmati disini inovasinya sangat menarik,Positif
ternyata patung garuda wisnu lebih besar dari dugaan saya patung yang memberi banyak cerita kita juga bisa beraktifitas olahraga skuter atau sepedaan di plaza lotus,Positif
tempatnya bagus sekali selain jalan jalan saya banyak mendapat hiburan dan pernak pernik yang ada di shop nya dan banyak spot foto dan terkagum melihat patung yg terbesar ketiga didunia pokoknya mantep 😍,Positif
suatu kebanggaan indonesia yang punya icon unix yang bisa jadi terkenal ke manca negara yaitu suatu patung besar dan mempunyai nilai seni budaya yang tinggi asli seni dari anak negeri,Positif
garuda wisnu kencana merupakan tempat wisata yang terkolobarasi dengan kebudayaan bali yang exotic diiringi dengan kesenian khas bali dan ditutup dengan penampilan tari kecak yang luar biasa,Positif
